id,type,readonly,group,name
198,6,0,ctrlAtt,tau_rp
199,6,0,ctrlAtt,mixing_factor
200,6,0,ctrlAtt,coll_fairness
201,6,0,quadSysId,thrustToTorque
202,6,0,quadSysId,pwmToThrustA
203,6,0,quadSysId,pwmToThrustB
204,6,0,quadSysId,armLength
205,10,0,powerDist,idleThrust
206,6,0,hlCommander,vtoff
207,6,0,hlCommander,vland
208,8,0,hlCommander,groupmask
209,10,1,firmware,revision0
210,9,1,firmware,revision1
211,8,1,firmware,modified
